File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\model\ModelObjectiveEfficiencyWrapper.java,78,60,47,10,18,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\model\ModelSizeObjective.java,33,24,15,4,9,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\model\NegativeTestExampleObjective.java,36,27,17,4,9,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\model\PositiveTestExampleObjective.java,41,31,20,6,10,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\model\RelevantPartObjective.java,44,32,22,5,12,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\test\DisagreementObjective.java,61,48,35,9,13,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\test\TestLengthObjective.java,36,26,17,4,10,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\testset\TestSetAvgDisagreement.java,47,34,22,4,13,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\testset\TestSetSumDisagreement.java,46,33,22,4,13,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\testset\TestSetTransitionMatrixCoverage.java,48,34,23,5,14,0,0,0,0,0
